,sub,mask,lag,distance,run,data
0,sub-MSC04,dil2,-350.88663434113056,2,8,scrubbed
0,sub-MSC04,dil3,-492.462174072588,3,8,scrubbed
0,sub-MSC04,nacc,-134.27411432385398,0,9,scrubbed
0,sub-MSC04,dil1,146.8775623084756,1,9,scrubbed
0,sub-MSC04,dil2,86.978206783249,2,9,scrubbed
0,sub-MSC04,dil3,-27.990782177871377,3,9,scrubbed
0,sub-MSC05,nacc,208.7993046249127,0,0,scrubbed
0,sub-MSC05,dil1,-266.13643458826465,1,0,scrubbed
0,sub-MSC05,dil2,-621.589297705736,2,0,scrubbed
0,sub-MSC05,dil3,-707.7339446912574,3,0,scrubbed
0,sub-MSC05,nacc,-50.267621932059306,0,1,scrubbed
0,sub-MSC05,dil1,-218.6333823699942,1,1,scrubbed
0,sub-MSC05,dil2,-575.3301133983848,2,1,scrubbed
0,sub-MSC05,dil3,-745.6064468915918,3,1,scrubbed
0,sub-MSC05,nacc,-555.6300974381046,0,2,scrubbed
0,sub-MSC05,dil1,-494.78843254309066,1,2,scrubbed
0,sub-MSC05,dil2,-708.3507897880064,2,2,scrubbed
0,sub-MSC05,dil3,-894.0926924824324,3,2,scrubbed
0,sub-MSC05,nacc,-367.07293625181745,0,3,scrubbed
0,sub-MSC05,dil1,-205.72846569852194,1,3,scrubbed
0,sub-MSC05,dil2,-470.68512429423504,2,3,scrubbed
0,sub-MSC05,dil3,-578.9630366641452,3,3,scrubbed
0,sub-MSC05,nacc,578.8973153207111,0,4,scrubbed
0,sub-MSC05,dil1,264.0637253201711,1,4,scrubbed
0,sub-MSC05,dil2,-604.0892858870918,2,4,scrubbed
0,sub-MSC05,dil3,-835.1901332156508,3,4,scrubbed
0,sub-MSC05,nacc,-2822.4194869244384,0,5,scrubbed
0,sub-MSC05,dil1,-1416.8904523422668,1,5,scrubbed
0,sub-MSC05,dil2,-1420.6645789004292,2,5,scrubbed
0,sub-MSC05,dil3,-1242.5064493767875,3,5,scrubbed
0,sub-MSC05,nacc,-470.295119455296,0,6,scrubbed
0,sub-MSC05,dil1,-622.7578245350588,1,6,scrubbed
0,sub-MSC05,dil2,-987.516916540347,2,6,scrubbed
