,x,y,z,prefs
212,18,153,81,-0.0254734423621783
213,18,153,84,0.25803859850098887
214,15,123,99,-0.01724171183177386
215,15,126,99,-0.05111295280150353
216,15,129,96,0.04378312285296032
217,15,129,99,0.12434923941452196
218,15,132,96,0.05675187258762358
219,15,132,99,0.23045081329076483
220,15,135,93,0.4782136735153488
221,15,135,96,0.37092712971897834
222,15,135,99,0.1012204339042487
223,15,138,66,-0.30372472449689575
224,15,138,69,-0.3611682673489315
225,15,138,72,-0.35228685629977796
226,15,138,90,0.9397887593726191
227,15,138,93,0.6957940897625153
228,15,138,96,0.41419947412439545
229,15,138,99,0.04474579982435831
230,15,141,66,-0.21003051639481168
231,15,141,69,-0.2741809112094127
232,15,141,72,-0.1253167730626864
233,15,141,87,0.7972073225602863
234,15,141,90,0.8136926662968287
235,15,141,93,0.4064688182467184
236,15,141,96,0.3985473182377442
237,15,144,66,-0.07160380188439419
238,15,144,69,0.01657118727613549
239,15,144,72,0.17266634257536284
240,15,144,84,0.5038101539360249
241,15,144,87,0.661873111500286
242,15,144,90,0.6838455729892956
243,15,144,93,0.37249385572134996
244,15,144,96,0.22965653442278244
245,15,147,69,0.1826968592047119
246,15,147,72,0.3558276371596763
247,15,147,78,0.1666732225576979
248,15,147,81,0.24138735178002296
249,15,147,84,0.46413429608102064
250,15,147,87,0.5966225270551392
251,15,147,90,0.003159094718218236
252,15,147,93,-0.0338207135728098
253,15,150,69,-0.35693359211241515
254,15,150,72,0.1522216728816732
255,15,150,75,0.20174647731625894
256,15,150,78,0.18703611136549347
257,15,150,81,0.3180839727791779
258,15,150,84,0.48344524786683085
259,15,150,87,0.5260250578064125
260,15,150,90,0.2256576247254546
261,15,153,72,0.11278713474768731
262,15,153,75,-0.04335476920045511
263,15,153,78,0.11814639038153829
264,15,153,81,0.25288171165578555
265,15,153,84,0.36145144768418536
266,15,153,87,0.22761184200579943
267,12,126,96,-0.15138934361334486
268,12,129,93,-0.5674934588575374
269,12,129,96,0.06661812223148206
270,12,132,93,-0.6784123253336833
271,12,132,96,0.16710457133044282
272,12,135,90,-0.4392882421663035
273,12,135,93,0.24732205450737307
274,12,135,96,0.5645987371792943
275,12,138,63,-0.04493112061843199
276,12,138,66,-0.37662434780566945
277,12,138,69,-0.2351480207365071
278,12,138,87,0.8002444025173102
279,12,138,90,0.8116305564053402
280,12,138,93,0.5370288553837346
281,12,138,96,0.39527379186164624
282,12,141,66,-0.12927248845022207
283,12,141,69,-0.2659176832632377
284,12,141,72,0.057371307021034657
285,12,141,84,0.7577486984080866
286,12,141,87,0.6553239230605568
287,12,141,90,0.5735635972010331
288,12,141,93,0.5082977163891903
289,12,141,96,0.49103447597558625
290,12,144,66,-0.5789737832521277
291,12,144,69,-0.20810070184550178
